序号,文件名,相对路径
1354,generic_female_average__sit_chair_lean0__2h_guitar__no_pick_ponpon__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_chair_lean0__2h_guitar__no_pick_ponpon__01.anims
1355,generic_female_average__sit_chair_lean0__2h_guitar__pick_beast__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_chair_lean0__2h_guitar__pick_beast__01.anims
1356,generic_female_average__sit_chair_lean0__2h_guitar__pick_chippin__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_chair_lean0__2h_guitar__pick_chippin__01.anims
1357,generic_female_average__sit_chair_lean0__2h_guitar__pick__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_chair_lean0__2h_guitar__pick__01.anims
1358,generic_female_average__sit_chair_lean0__2h_on_backrest__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_chair_lean0__2h_on_backrest__01.anims
1359,generic_female_average__sit_chair_lean0__2h_on_lap_legs_crossed__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_chair_lean0__2h_on_lap_legs_crossed__01.anims
1360,generic_female_average__sit_chair_lean0__rh_cigarette__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_chair_lean0__rh_cigarette__01.anims
1361,generic_female_average__sit_chair_lean0__rh_gun__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_chair_lean0__rh_gun__01.anims
1362,generic_female_average__sit_chair_lean0__rh_on_backrest__02.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_chair_lean0__rh_on_backrest__02.anims
1363,generic_female_average__sit_chair_lean0__rh_on_chin_legs_crossed__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_chair_lean0__rh_on_chin_legs_crossed__01.anims
1364,generic_female_average__sit_chair_lean180__2h_folded__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_chair_lean180__2h_folded__01.anims
1365,generic_female_average__sit_chair_lean180__2h_on_lap_lf_seat__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_chair_lean180__2h_on_lap_lf_seat__01.anims
1366,generic_female_average__sit_chair_lean180__2h_on_lap__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_chair_lean180__2h_on_lap__01.anims
1367,generic_female_average__sit_chair_lean180__2h_on_lap__02.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_chair_lean180__2h_on_lap__02.anims
1368,generic_female_average__sit_chair_lean180__2h_on_lap__03.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_chair_lean180__2h_on_lap__03.anims
1369,generic_female_average__sit_chair_lean180__2h_up_folded__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_chair_lean180__2h_up_folded__01.anims
1370,generic_female_average__sit_chair_lean180__arms_crossed__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_chair_lean180__arms_crossed__01.anims
1371,generic_female_average__sit_chair_lean180__inject__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_chair_lean180__inject__01.anims
1372,generic_female_average__sit_chair_lean180__lh_crossed_front__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_chair_lean180__lh_crossed_front__01.anims
1373,generic_female_average__sit_chair_lean180__lh_purse_legs_crossed__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_chair_lean180__lh_purse_legs_crossed__01.anims
1374,generic_female_average__sit_chair_lean180__lh_up__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_chair_lean180__lh_up__01.anims
1375,generic_female_average__sit_chair_lean180__read_tablet__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_chair_lean180__read_tablet__01.anims
1376,generic_female_average__sit_chair_lean180__rh_cigarette__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_chair_lean180__rh_cigarette__01.anims
1377,generic_female_average__sit_chair_lean180__rh_on_chin__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_chair_lean180__rh_on_chin__01.anims
1378,generic_female_average__sit_chair_table_keyboard__2h_on_keyboard__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_chair_table_keyboard__2h_on_keyboard__01.anims
1379,generic_female_average__sit_chair_table_lean0__2h_folded__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_chair_table_lean0__2h_folded__01.anims
1380,generic_female_average__sit_chair_table_lean0__2h_on_table__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_chair_table_lean0__2h_on_table__01.anims
1381,generic_female_average__sit_chair_table_lean0__rh_can__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_chair_table_lean0__rh_can__01.anims
1382,generic_female_average__sit_chair_table_lean0__rh_cigarette__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_chair_table_lean0__rh_cigarette__01.anims
1383,generic_female_average__sit_chair_table_lean0__rh_fork__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_chair_table_lean0__rh_fork__01.anims
1384,generic_female_average__sit_chair_table_lean0__rh_on_chin__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_chair_table_lean0__rh_on_chin__01.anims
1385,generic_female_average__sit_chair_table_lean0__rh_spoon__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_chair_table_lean0__rh_spoon__01.anims
1386,generic_female_average__sit_chair__2h_on_lap__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_chair__2h_on_lap__01.anims
1387,generic_female_average__sit_chair__2h_on_lap__02.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_chair__2h_on_lap__02.anims
1388,generic_female_average__sit_chair__2h_on_lap__03.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_chair__2h_on_lap__03.anims
1389,generic_female_average__sit_chair__2h_up__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_chair__2h_up__01.anims
1390,generic_female_average__sit_chair__arms_legs_crossed__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_chair__arms_legs_crossed__01.anims
1391,generic_female_average__sit_couch_lean0__2h_elbow_on_knees__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_couch_lean0__2h_elbow_on_knees__01.anims
1392,generic_female_average__sit_couch_lean180__2h_guitar__no_pick_fingers__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_couch_lean180__2h_guitar__no_pick_fingers__01.anims
1393,generic_female_average__sit_couch_lean180__2h_guitar__no_pick_ponpon__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_couch_lean180__2h_guitar__no_pick_ponpon__01.anims
1394,generic_female_average__sit_couch_lean180__2h_guitar__pick_beast__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_couch_lean180__2h_guitar__pick_beast__01.anims
1395,generic_female_average__sit_couch_lean180__2h_guitar__pick_chippin__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_couch_lean180__2h_guitar__pick_chippin__01.anims
1396,generic_female_average__sit_couch_lean180__2h_guitar__pick__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_couch_lean180__2h_guitar__pick__01.anims
1397,generic_female_average__sit_couch_lean180__2h_on_lap__02.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_couch_lean180__2h_on_lap__02.anims
1398,generic_female_average__sit_couch_lean180__arms_crossed_front__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_couch_lean180__arms_crossed_front__01.anims
1399,generic_female_average__sit_couch_lean180__lh_glass__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_couch_lean180__lh_glass__01.anims
1400,generic_female_average__sit_couch_lean180__lh_on_couch_back__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_couch_lean180__lh_on_couch_back__01.anims
1401,generic_female_average__sit_couch_lean180__rh_champagne__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_couch_lean180__rh_champagne__01.anims
1402,generic_female_average__sit_couch_lean180__rh_give_splinter__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_couch_lean180__rh_give_splinter__01.anims
1403,generic_female_average__sit_couch_lean180__rh_on_couch_back__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_couch_lean180__rh_on_couch_back__01.anims
1404,generic_female_average__sit_couch_lean180__rh_on_couch__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_couch_lean180__rh_on_couch__01.anims
1405,generic_female_average__sit_curb_lean0__2h_around_legs__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_curb_lean0__2h_around_legs__01.anims
1406,generic_female_average__sit_curb_lean180__2h_on_curb__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_curb_lean180__2h_on_curb__01.anims
1407,generic_female_average__sit_ground_lean0__2h_around_legs__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_ground_lean0__2h_around_legs__01.anims
1408,generic_female_average__sit_ground_lean180__2h_cover__afraid__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_ground_lean180__2h_cover__afraid__01.anims
1409,generic_female_average__sit_ground_lean180__lh_elbow_on_knee__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_ground_lean180__lh_elbow_on_knee__01.anims
1410,generic_female_average__sit_ground_lean180__rl_bent__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_ground_lean180__rl_bent__01.anims
1411,generic_female_average__sit_ground__begging__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_ground__begging__01.anims
1412,generic_female_average__sit_ground__play_handpan__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_ground__play_handpan__01.anims
1413,generic_female_average__sit_ground__play_handpan__play__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_ground__play_handpan__play__01.anims
1414,generic_female_average__sit_ground__rh_on_lap__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_ground__rh_on_lap__01.anims
1415,generic_female_average__sit_lowtable_lean0__2h_on_lap__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_lowtable_lean0__2h_on_lap__01.anims
1416,generic_female_average__sit_lowtable__eat__chopstick__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_lowtable__eat__chopstick__01.anims
1417,generic_female_average__sit_maintain_jaw_cyberware__lh_jaw__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_maintain_jaw_cyberware__lh_jaw__01.anims
1418,generic_female_average__sit_netrunner_chair__lh_on_knee__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_netrunner_chair__lh_on_knee__01.anims
1419,generic_female_average__sit_rayfield_excalibur_lean0__2h_phone__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_rayfield_excalibur_lean0__2h_phone__01.anims
1420,generic_female_average__sit_stairs_lean0__2h_elbow_on_knees__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_stairs_lean0__2h_elbow_on_knees__01.anims
1421,generic_female_average__sit_stairs_lean0__rh_cigarette__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_stairs_lean0__rh_cigarette__01.anims
1422,generic_female_average__sit_stairs_lean180__2h_elbow_on_stairs__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_stairs_lean180__2h_elbow_on_stairs__01.anims
1423,generic_female_average__sit_table_lean0__2h_elbow_on_knees__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_table_lean0__2h_elbow_on_knees__01.anims
1424,generic_female_average__sit_table_lean180__lh_on_table__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_table_lean180__lh_on_table__01.anims
1425,generic_female_average__sit_table__lh_on_table__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_table__lh_on_table__01.anims
1426,generic_female_average__sit_villefort_cortes_lean180__2h_on_lap__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_villefort_cortes_lean180__2h_on_lap__01.anims
1427,generic_female_average__sit_villefort_cortes_lean270__rh_crossed__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_villefort_cortes_lean270__rh_crossed__01.anims
1428,generic_female_average__sit_wheelchair_lean180__2h_on_lap__02.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit_wheelchair_lean180__2h_on_lap__02.anims
1429,generic_female_average__sit__chair_lean0__depress__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__sit__chair_lean0__depress__01.anims
1430,generic_female_average__stand_arms_crossed_front__lean180__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_arms_crossed_front__lean180__01.anims
1431,generic_female_average__stand_bar_lean0__2h_elbow_on_bar__02.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_bar_lean0__2h_elbow_on_bar__02.anims
1432,generic_female_average__stand_bar_lean0__2h_on_bar__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_bar_lean0__2h_on_bar__01.anims
1433,generic_female_average__stand_bar_lean0__2h_on_bar__02.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_bar_lean0__2h_on_bar__02.anims
1434,generic_female_average__stand_bar_lean0__rh_on_rag__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_bar_lean0__rh_on_rag__01.anims
1435,generic_female_average__stand_bar_lean180__2h_elbow_on_bar__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_bar_lean180__2h_elbow_on_bar__01.anims
1436,generic_female_average__stand_bar_lean90__rh_on_bar__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_bar_lean90__rh_on_bar__01.anims
1437,generic_female_average__stand_bar_lean90__rh_on_bar__02.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_bar_lean90__rh_on_bar__02.anims
1438,generic_female_average__stand_bar_lean90__rh_on_bar__03.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_bar_lean90__rh_on_bar__03.anims
1439,generic_female_average__stand_bar__2h_on_keyboard__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_bar__2h_on_keyboard__01.anims
1440,generic_female_average__stand_bow0__2h_front__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_bow0__2h_front__01.anims
1441,generic_female_average__stand_bow15__2h_on_thighs__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_bow15__2h_on_thighs__01.anims
1442,generic_female_average__stand_bow45__2h_on_thighs__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_bow45__2h_on_thighs__01.anims
1443,generic_female_average__stand_bow90__2h_on_knees__02.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_bow90__2h_on_knees__02.anims
1444,generic_female_average__stand_car_lean0__rh_repair_car__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_car_lean0__rh_repair_car__01.anims
1445,generic_female_average__stand_cheer__2h_up__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_cheer__2h_up__01.anims
1446,generic_female_average__stand_colby_lean_0__2h_on_car_window__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_colby_lean_0__2h_on_car_window__01.anims
1447,generic_female_average__stand_lean180__inject__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_lean180__inject__01.anims
1448,generic_female_average__stand_lh_phone_speaker__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_lh_phone_speaker__01.anims
1449,generic_female_average__stand_rail_lean0__2h_on_rail__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_rail_lean0__2h_on_rail__01.anims
1450,generic_female_average__stand_rail_lean0__rh_cigarette__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_rail_lean0__rh_cigarette__01.anims
1451,generic_female_average__stand_rail_lean180__lh_on_rail__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_rail_lean180__lh_on_rail__01.anims
1452,generic_female_average__stand_rail_lean180__rh_cigarette__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_rail_lean180__rh_cigarette__01.anims
1453,generic_female_average__stand_rail_lean180__rh_cigarette__02.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_rail_lean180__rh_cigarette__02.anims
1454,generic_female_average__stand_rail_lean270__arms_crossed__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_rail_lean270__arms_crossed__01.anims
1455,generic_female_average__stand_rail_lean270__lh_on_rail__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_rail_lean270__lh_on_rail__01.anims
1456,generic_female_average__stand_rail_lean90__rh_cigarette__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_rail_lean90__rh_cigarette__01.anims
1457,generic_female_average__stand_rail_lean90__rh_on_rail__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_rail_lean90__rh_on_rail__01.anims
1458,generic_female_average__stand_rh__begging__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_rh__begging__01.anims
1459,generic_female_average__stand_stairs_lean0__rf_on_stair__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_stairs_lean0__rf_on_stair__01.anims
1460,generic_female_average__stand_table_lean0__2h_on_table__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_table_lean0__2h_on_table__01.anims
1461,generic_female_average__stand_table_lean180__2h_front__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_table_lean180__2h_front__01.anims
1462,generic_female_average__stand_table_lean180__arms_crossed_front__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_table_lean180__arms_crossed_front__01.anims
1463,generic_female_average__stand_table_lean180__lh_on_table__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_table_lean180__lh_on_table__01.anims
1464,generic_female_average__stand_table_lean270__lh_on_table__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_table_lean270__lh_on_table__01.anims
1465,generic_female_average__stand_table_lean270__lh_on_table__02.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_table_lean270__lh_on_table__02.anims
1466,generic_female_average__stand_table_lean270__lh_on_table__03.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_table_lean270__lh_on_table__03.anims
1467,generic_female_average__stand_table_lean45__rh_on_table__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_table_lean45__rh_on_table__01.anims
1468,generic_female_average__stand_table_lean90__rh_on_table__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_table_lean90__rh_on_table__01.anims
1469,generic_female_average__stand_wall_lean180__2h_on_sides__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_wall_lean180__2h_on_sides__01.anims
1470,generic_female_average__stand_wall_lean180__arms_crossed_front__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_wall_lean180__arms_crossed_front__01.anims
1471,generic_female_average__stand_wall_lean180__rh_cigarette__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_wall_lean180__rh_cigarette__01.anims
1472,generic_female_average__stand_wall_lean270__rh_on_hip__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_wall_lean270__rh_on_hip__01.anims
1473,generic_female_average__stand_wall_lean270__rh_on_wall__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_wall_lean270__rh_on_wall__01.anims
1474,generic_female_average__stand_wall_lean90__2h_on_sides__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_wall_lean90__2h_on_sides__01.anims
1475,generic_female_average__stand_wall_lean90__lh_on_hip__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand_wall_lean90__lh_on_hip__01.anims
1476,generic_female_average__stand__2h_back__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__2h_back__01.anims
1477,generic_female_average__stand__2h_dumbbell_large__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__2h_dumbbell_large__01.anims
1478,generic_female_average__stand__2h_front__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__2h_front__01.anims
1479,generic_female_average__stand__2h_front__02.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__2h_front__02.anims
1480,generic_female_average__stand__2h_guitar__pick__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__2h_guitar__pick__01.anims
1481,generic_female_average__stand__2h_hack_energy_box__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__2h_hack_energy_box__01.anims
1482,generic_female_average__stand__2h_hack_energy_box__02.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__2h_hack_energy_box__02.anims
1483,generic_female_average__stand__2h_hold__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__2h_hold__01.anims
1484,generic_female_average__stand__2h_on_hip__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__2h_on_hip__01.anims
1485,generic_female_average__stand__2h_on_hip__02.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__2h_on_hip__02.anims
1486,generic_female_average__stand__2h_on_hip__weight_left__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__2h_on_hip__weight_left__01.anims
1487,generic_female_average__stand__2h_on_knees__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__2h_on_knees__01.anims
1488,generic_female_average__stand__2h_on_patient_chest__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__2h_on_patient_chest__01.anims
1489,generic_female_average__stand__2h_on_sides__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__2h_on_sides__01.anims
1490,generic_female_average__stand__2h_on_sides__02.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__2h_on_sides__02.anims
1491,generic_female_average__stand__2h_on_sides__03.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__2h_on_sides__03.anims
1492,generic_female_average__stand__2h_on_sides__04.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__2h_on_sides__04.anims
1493,generic_female_average__stand__2h_on_sides__05.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__2h_on_sides__05.anims
1494,generic_female_average__stand__2h_phone__03.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__2h_phone__03.anims
1495,generic_female_average__stand__2h_play_guitar__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__2h_play_guitar__01.anims
1496,generic_female_average__stand__2h_tablet__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__2h_tablet__01.anims
1497,generic_female_average__stand__2h_tablet__03.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__2h_tablet__03.anims
1498,generic_female_average__stand__2h_up__02.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__2h_up__02.anims
1499,generic_female_average__stand__2h_up__03.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__2h_up__03.anims
1500,generic_female_average__stand__2h_up__05.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__2h_up__05.anims
1501,generic_female_average__stand__arms_crossed_front__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__arms_crossed_front__01.anims
1502,generic_female_average__stand__arms_crossed_front__02.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__arms_crossed_front__02.anims
1503,generic_female_average__stand__arms_crossed_front__03.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__arms_crossed_front__03.anims
1504,generic_female_average__stand__bar__lh_bottle__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__bar__lh_bottle__01.anims
1505,generic_female_average__stand__car_lean0__2h_on_engine__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__car_lean0__2h_on_engine__01.anims
1506,generic_female_average__stand__car_lean0__2h_on_engine__02.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__car_lean0__2h_on_engine__02.anims
1507,generic_female_average__stand__lh_purse_rh_on_hip__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__lh_purse_rh_on_hip__01.anims
1508,generic_female_average__stand__lh_shotgun__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__lh_shotgun__01.anims
1509,generic_female_average__stand__lh_tablet__take_order__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__lh_tablet__take_order__01.anims
1510,generic_female_average__stand__rh_bottle__02.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__rh_bottle__02.anims
1511,generic_female_average__stand__rh_cigarette_lh_crossed__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__rh_cigarette_lh_crossed__01.anims
1512,generic_female_average__stand__rh_cigarette__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__rh_cigarette__01.anims
1513,generic_female_average__stand__rh_gun_aim_low__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__rh_gun_aim_low__01.anims
1514,generic_female_average__stand__rh_gun_aim_low__02.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__rh_gun_aim_low__02.anims
1515,generic_female_average__stand__rh_gun__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__rh_gun__01.anims
1516,generic_female_average__stand__rh_gun__02.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__rh_gun__02.anims
1517,generic_female_average__stand__rh_on_chin__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__rh_on_chin__01.anims
1518,generic_female_average__stand__rh_on_chin__02.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__rh_on_chin__02.anims
1519,generic_female_average__stand__rh_on_hip_holding_gun__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__rh_on_hip_holding_gun__01.anims
1520,generic_female_average__stand__rh_on_hip__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__rh_on_hip__01.anims
1521,generic_female_average__stand__rh_on_lips__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__rh_on_lips__01.anims
1522,generic_female_average__stand__rh_on_side_hack_energy_box__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__rh_on_side_hack_energy_box__01.anims
1523,generic_female_average__stand__rh_package__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__rh_package__01.anims
1524,generic_female_average__stand__rh_shot_glass__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__rh_shot_glass__01.anims
1525,generic_female_average__stand__rh_tablet__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__rh_tablet__01.anims
1526,generic_female_average__stand__rh_tool_fix__02.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__rh_tool_fix__02.anims
1527,generic_female_average__stand__rh_up__01.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__rh_up__01.anims
1528,generic_female_average__stand__rh_up__03.anims,npc\generic_characters\female_average\interactive_scene\generic_female_average__stand__rh_up__03.anims
1529,johnny__stand__2h_on_sides__aggressive__01.anims,npc\generic_characters\female_average\interactive_scene\johnny__stand__2h_on_sides__aggressive__01.anims
