场景路径,章节名称,所有Clip类型,不同Clip类型数量,总Clip数量,Clip类型详情
base\quest\testgym\meethanako.scenesolution,q115_00b_v_getting_out,"scnbeventsSocketDescriptor, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",4,5,"{'toolsDialogLineEventDescriptor': 2, 'toolsPlaySkAnimDescriptor': 1, 'scnbeventsSocketDescriptor': 1, 'toolsChangeIdleAnimDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_18,scnbeventsStopWorkEvent,1,1,{'scnbeventsStopWorkEvent': 1}
base\quest\testgym\meethanako.scenesolution,q115_00b_v_getting_from_the_bar,"scnbeventsVFXEventDescriptor, toolsDialogLineEventDescriptor",2,2,"{'toolsDialogLineEventDescriptor': 1, 'scnbeventsVFXEventDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_v_getting_from_the_bar_2,"scnbeventsVFXEventDescriptor, toolsDialogLineEventDescriptor",2,2,"{'toolsDialogLineEventDescriptor': 1, 'scnbeventsVFXEventDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_19,"scnbeventsChangeWorkEvent, toolsLookAtDescriptor",2,2,"{'scnbeventsChangeWorkEvent': 1, 'toolsLookAtDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_28,scnbeventsCameraClipDescriptor,1,1,{'scnbeventsCameraClipDescriptor': 1}
base\quest\testgym\meethanako.scenesolution,q115_00b_28_01,scnbeventsCameraClipDescriptor,1,1,{'scnbeventsCameraClipDescriptor': 1}
base\quest\testgym\meethanako.scenesolution,q115_00b_27,"scnbeventsChangeWorkEvent, scnbeventsVFXEventDescriptor",2,2,"{'scnbeventsVFXEventDescriptor': 1, 'scnbeventsChangeWorkEvent': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_v_getting_from_the_bar_animation,"scnbeventsCameraClipDescriptor, scnbeventsSocketDescriptor, scnbeventsStopWorkEvent, toolsChangeIdleAnimDescriptor, toolsPlaySkAnimDescriptor",5,9,"{'scnbeventsStopWorkEvent': 1, 'scnbeventsCameraClipDescriptor': 2, 'toolsChangeIdleAnimDescriptor': 1, 'scnbeventsSocketDescriptor': 4, 'toolsPlaySkAnimDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_leave_restaurant,"scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor",2,2,"{'toolsDialogLineEventDescriptor': 1, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_inside_fluff,"toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",4,10,"{'toolsDialogLineEventDescriptor': 5, 'toolsPlaySkAnimDescriptor': 2, 'toolsLookAtDescriptor': 1, 'toolsChangeIdleAnimDescriptor': 2}"
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_walking_into_frame_02,"scnbeventsAttachPropDescriptor, scnbeventsChangeWorkEvent, toolsLookAtDescriptor",3,3,"{'scnbeventsAttachPropDescriptor': 1, 'scnbeventsChangeWorkEvent': 1, 'toolsLookAtDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_09,scnbeventsChangeWorkEvent,1,1,{'scnbeventsChangeWorkEvent': 1}
base\quest\testgym\meethanako.scenesolution,q115_00b_as_hanako_wish,toolsDialogLineEventDescriptor,1,1,{'toolsDialogLineEventDescriptor': 1}
base\quest\testgym\meethanako.scenesolution,q115_00b_v_doesnt_get_it,"toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",3,3,"{'toolsDialogLineEventDescriptor': 1, 'toolsPlaySkAnimDescriptor': 1, 'toolsChangeIdleAnimDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_blue_about_hanako,"scnbeventsSocketDescriptor, scnbeventsVFXEventDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",5,15,"{'scnbeventsVFXEventDescriptor': 3, 'toolsLookAtDescriptor': 1, 'toolsDialogLineEventDescriptor': 4, 'scnbeventsSocketDescriptor': 3, 'toolsPlaySkAnimDescriptor': 4}"
base\quest\testgym\meethanako.scenesolution,q115_00b_power_conclusion,"scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor",4,4,"{'toolsDialogLineEventDescriptor': 1, 'scnbeventsChangeWorkEvent': 1, 'scnbeventsSocketDescriptor': 1, 'toolsChangeIdleAnimDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_eye_glow,,0,0,
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_01_ending_scenespot,scnbeventsChangeWorkEvent,1,2,{'scnbeventsChangeWorkEvent': 2}
base\quest\testgym\meethanako.scenesolution,q115_00b_15,scnbeventsStopWorkEvent,1,2,{'scnbeventsStopWorkEvent': 2}
base\quest\testgym\meethanako.scenesolution,q115_00b_37,scnbeventsChangeWorkEvent,1,1,{'scnbeventsChangeWorkEvent': 1}
base\quest\testgym\meethanako.scenesolution,q115_00b_38,scnbeventsChangeWorkEvent,1,1,{'scnbeventsChangeWorkEvent': 1}
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sit,"toolsDialogLineEventDescriptor, toolsLookAtDescriptor",2,2,"{'toolsDialogLineEventDescriptor': 1, 'toolsLookAtDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_reminder_sit,toolsDialogLineEventDescriptor,1,1,{'toolsDialogLineEventDescriptor': 1}
base\quest\testgym\meethanako.scenesolution,q115_00b_reminder_help,toolsDialogLineEventDescriptor,1,1,{'toolsDialogLineEventDescriptor': 1}
base\quest\testgym\meethanako.scenesolution,q115_00b_reminder_dont_speak,,0,0,
base\quest\testgym\meethanako.scenesolution,02,,0,0,
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_cheeky_move,scnbeventsChangeWorkEvent,1,2,{'scnbeventsChangeWorkEvent': 2}
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_getting_up,toolsPlaySkAnimDescriptor,1,1,{'toolsPlaySkAnimDescriptor': 1}
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_to_hanako,"scnbeventsChangeWorkEvent, scnbeventsStopWorkEvent, toolsLookAtDescriptor",3,5,"{'scnbeventsStopWorkEvent': 1, 'scnbeventsChangeWorkEvent': 2, 'toolsLookAtDescriptor': 2}"
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_by_the_window,"scnbeventsChangeWorkEvent, toolsLookAtDescriptor",2,2,"{'scnbeventsChangeWorkEvent': 1, 'toolsLookAtDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_stop_anim,toolsPlaySkAnimDescriptor,1,1,{'toolsPlaySkAnimDescriptor': 1}
base\quest\testgym\meethanako.scenesolution,q115_00b_30,scnbeventsStopWorkEvent,1,1,{'scnbeventsStopWorkEvent': 1}
base\quest\testgym\meethanako.scenesolution,q115_00b_33,scnbeventsChangeWorkEvent,1,1,{'scnbeventsChangeWorkEvent': 1}
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_walking_into_frame,scnbeventsChangeWorkEvent,1,1,{'scnbeventsChangeWorkEvent': 1}
base\quest\testgym\meethanako.scenesolution,q115_00b_player_cough,"scnbeventsVFXDurationEventDescriptor, toolsPlaySkAnimDescriptor",2,2,"{'scnbeventsVFXDurationEventDescriptor': 1, 'toolsPlaySkAnimDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_31,scnbeventsStopWorkEvent,1,1,{'scnbeventsStopWorkEvent': 1}
base\quest\testgym\meethanako.scenesolution,q115_00b_32,scnbeventsChangeWorkEvent,1,1,{'scnbeventsChangeWorkEvent': 1}
base\quest\testgym\meethanako.scenesolution,q115_00b_guards,toolsDialogLineEventDescriptor,1,1,{'toolsDialogLineEventDescriptor': 1}
base\quest\testgym\meethanako.scenesolution,q115_00b_,"toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",2,3,"{'toolsPlaySkAnimDescriptor': 1, 'toolsLookAtDescriptor': 2}"
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_to_stand_hands_back,scnbeventsChangeWorkEvent,1,1,{'scnbeventsChangeWorkEvent': 1}
base\quest\testgym\meethanako.scenesolution,q115_00b_AV_sfx,"toolsAudioEventDescriptor, toolsDialogLineEventDescriptor",2,2,"{'toolsDialogLineEventDescriptor': 1, 'toolsAudioEventDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_12,"toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",2,2,"{'toolsDialogLineEventDescriptor': 1, 'toolsPlaySkAnimDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_hand_disappear_elevator,,0,0,
base\quest\testgym\meethanako.scenesolution,q115_00b_39,scnbeventsChangeWorkEvent,1,1,{'scnbeventsChangeWorkEvent': 1}
base\quest\testgym\meethanako.scenesolution,q115_00b_AV_sfx,"toolsAudioEventDescriptor, toolsDialogLineEventDescriptor",2,2,"{'toolsDialogLineEventDescriptor': 1, 'toolsAudioEventDescriptor': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_sitting_idle,scnbeventsChangeWorkEvent,1,1,{'scnbeventsChangeWorkEvent': 1}
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_restaurant_crew_comment,"toolsDialogLineEventDescriptor, toolsLookAtDescriptor",2,3,"{'toolsDialogLineEventDescriptor': 1, 'toolsLookAtDescriptor': 2}"
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_by_the_stairs,"scnbeventsChangeWorkEvent, toolsDialogLineEventDescriptor",2,2,"{'toolsDialogLineEventDescriptor': 1, 'scnbeventsChangeWorkEvent': 1}"
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_animations,"scnbeventsChangeWorkEvent, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor",4,5,"{'toolsDialogLineEventDescriptor': 1, 'scnbeventsChangeWorkEvent': 1, 'toolsLookAtDescriptor': 1, 'toolsChangeIdleAnimDescriptor': 2}"
base\quest\testgym\meethanako.scenesolution,q115_00b_29,,0,0,
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_hand_appear_elevator,,0,0,
base\quest\testgym\meethanako.scenesolution,sadasdad,scnbeventsChangeWorkEvent,1,2,{'scnbeventsChangeWorkEvent': 2}
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_guards,"scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor",2,2,"{'toolsDialogLineEventDescriptor': 1, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_leave_restaurant,"scnbeventsSocketDescriptor, scnbeventsVFXEventDescriptor, toolsDialogLineEventDescriptor",3,3,"{'toolsDialogLineEventDescriptor': 1, 'scnbeventsVFXEventDescriptor': 1, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_beginning,"scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",5,11,"{'toolsLookAtDescriptor': 2, 'toolsDialogLineEventDescriptor': 4, 'scnbeventsSocketDescriptor': 1, 'toolsPlaySkAnimDescriptor': 3, 'scnbeventsChangeWorkEvent': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_furious_johnny,"scnbeventsAttachPropDescriptor, scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, scnbeventsStopWorkEvent, scnbeventsVFXEventDescriptor, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",9,25,"{'scnbeventsVFXEventDescriptor': 2, 'toolsLookAtDescriptor': 5, 'scnbeventsAttachPropDescriptor': 2, 'toolsDialogLineEventDescriptor': 5, 'scnbeventsStopWorkEvent': 1, 'toolsChangeIdleAnimDescriptor': 1, 'scnbeventsSocketDescriptor': 2, 'toolsPlaySkAnimDescriptor': 2, 'scnbeventsChangeWorkEvent': 5}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_angry_johnny,"scnbeventsCameraClipDescriptor, scnbeventsChangeWorkEvent, scnbeventsStopWorkEvent, scnbeventsVFXEventDescriptor, toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",6,13,"{'scnbeventsVFXEventDescriptor': 2, 'toolsDialogLineEventDescriptor': 5, 'scnbeventsStopWorkEvent': 1, 'scnbeventsCameraClipDescriptor': 1, 'toolsPlaySkAnimDescriptor': 2, 'scnbeventsChangeWorkEvent': 2}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_nervous_johnny,"scnbeventsCameraClipDescriptor, scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, scnbeventsStopWorkEvent, scnbeventsVFXEventDescriptor, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",8,16,"{'scnbeventsVFXEventDescriptor': 3, 'toolsDialogLineEventDescriptor': 5, 'scnbeventsStopWorkEvent': 1, 'scnbeventsCameraClipDescriptor': 1, 'toolsChangeIdleAnimDescriptor': 1, 'scnbeventsSocketDescriptor': 1, 'toolsPlaySkAnimDescriptor': 2, 'scnbeventsChangeWorkEvent': 2}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_v_is_fine,"scnbeventsCameraClipDescriptor, scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, scnbeventsVFXEventDescriptor, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",8,12,"{'scnbeventsVFXEventDescriptor': 2, 'toolsLookAtDescriptor': 2, 'toolsDialogLineEventDescriptor': 3, 'scnbeventsCameraClipDescriptor': 1, 'toolsChangeIdleAnimDescriptor': 1, 'scnbeventsSocketDescriptor': 1, 'toolsPlaySkAnimDescriptor': 1, 'scnbeventsChangeWorkEvent': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_v_is_not_good,"scnbeventsCameraClipDescriptor, scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, scnbeventsVFXEventDescriptor, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",8,12,"{'scnbeventsVFXEventDescriptor': 2, 'toolsLookAtDescriptor': 2, 'toolsDialogLineEventDescriptor': 3, 'scnbeventsCameraClipDescriptor': 1, 'toolsChangeIdleAnimDescriptor': 1, 'scnbeventsSocketDescriptor': 1, 'toolsPlaySkAnimDescriptor': 1, 'scnbeventsChangeWorkEvent': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_mikoshi,"scnbeventsAttachPropDescriptor, scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, scnbeventsVFXEventDescriptor, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",8,27,"{'scnbeventsVFXEventDescriptor': 2, 'toolsLookAtDescriptor': 3, 'toolsDialogLineEventDescriptor': 5, 'scnbeventsSocketDescriptor': 6, 'toolsChangeIdleAnimDescriptor': 2, 'scnbeventsAttachPropDescriptor': 2, 'toolsPlaySkAnimDescriptor': 4, 'scnbeventsChangeWorkEvent': 3}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_mikoshi_go_one,"scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor",2,3,"{'toolsDialogLineEventDescriptor': 2, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_mikoshi_how_is_that,"scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor",2,2,"{'toolsDialogLineEventDescriptor': 1, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_my_brother,"scnbeventsSocketDescriptor, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor",4,6,"{'toolsDialogLineEventDescriptor': 2, 'toolsLookAtDescriptor': 1, 'scnbeventsSocketDescriptor': 2, 'toolsChangeIdleAnimDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_greet,"scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",3,3,"{'toolsDialogLineEventDescriptor': 1, 'toolsPlaySkAnimDescriptor': 1, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_nervous,"scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",5,15,"{'toolsDialogLineEventDescriptor': 5, 'toolsChangeIdleAnimDescriptor': 2, 'scnbeventsSocketDescriptor': 1, 'toolsPlaySkAnimDescriptor': 5, 'scnbeventsChangeWorkEvent': 2}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_what_hanako,"scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",4,10,"{'toolsDialogLineEventDescriptor': 4, 'toolsPlaySkAnimDescriptor': 3, 'toolsLookAtDescriptor': 2, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_business_of_arasakas,"scnbeventsSocketDescriptor, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",5,7,"{'toolsLookAtDescriptor': 1, 'toolsDialogLineEventDescriptor': 2, 'toolsChangeIdleAnimDescriptor': 1, 'scnbeventsSocketDescriptor': 1, 'toolsPlaySkAnimDescriptor': 2}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_rather_not_offert,"scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",5,13,"{'toolsDialogLineEventDescriptor': 4, 'toolsChangeIdleAnimDescriptor': 1, 'scnbeventsSocketDescriptor': 3, 'toolsPlaySkAnimDescriptor': 4, 'scnbeventsChangeWorkEvent': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_kill_brother,"scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",3,4,"{'toolsDialogLineEventDescriptor': 2, 'toolsPlaySkAnimDescriptor': 1, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_good_offert,"scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",6,15,"{'toolsLookAtDescriptor': 2, 'toolsDialogLineEventDescriptor': 3, 'toolsChangeIdleAnimDescriptor': 1, 'scnbeventsSocketDescriptor': 4, 'toolsPlaySkAnimDescriptor': 4, 'scnbeventsChangeWorkEvent': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_conclusion,"scnbeventsAttachPropDescriptor, scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, scnbeventsStopWorkEvent, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",8,48,"{'toolsLookAtDescriptor': 14, 'scnbeventsAttachPropDescriptor': 2, 'toolsDialogLineEventDescriptor': 9, 'scnbeventsStopWorkEvent': 1, 'toolsChangeIdleAnimDescriptor': 3, 'scnbeventsSocketDescriptor': 5, 'toolsPlaySkAnimDescriptor': 12, 'scnbeventsChangeWorkEvent': 2}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_inside_fluff,"scnbeventsSocketDescriptor, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",5,11,"{'toolsLookAtDescriptor': 1, 'toolsDialogLineEventDescriptor': 5, 'toolsChangeIdleAnimDescriptor': 2, 'scnbeventsSocketDescriptor': 1, 'toolsPlaySkAnimDescriptor': 2}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_power_fluff,"scnbeventsAttachPropDescriptor, scnbeventsChangeWorkEvent, scnbeventsVFXEventDescriptor, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",7,25,"{'scnbeventsVFXEventDescriptor': 3, 'toolsLookAtDescriptor': 4, 'toolsDialogLineEventDescriptor': 6, 'toolsChangeIdleAnimDescriptor': 2, 'scnbeventsAttachPropDescriptor': 2, 'toolsPlaySkAnimDescriptor': 7, 'scnbeventsChangeWorkEvent': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_v_getting_out,"scnbeventsSocketDescriptor, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",4,5,"{'toolsDialogLineEventDescriptor': 2, 'toolsPlaySkAnimDescriptor': 1, 'scnbeventsSocketDescriptor': 1, 'toolsChangeIdleAnimDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_let_me_hear,"scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",4,8,"{'toolsDialogLineEventDescriptor': 3, 'toolsPlaySkAnimDescriptor': 2, 'toolsLookAtDescriptor': 2, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_v_doesnt_get_it,"toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",3,4,"{'toolsDialogLineEventDescriptor': 2, 'toolsPlaySkAnimDescriptor': 1, 'toolsChangeIdleAnimDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_as_hanako_wish,toolsDialogLineEventDescriptor,1,1,{'toolsDialogLineEventDescriptor': 1}
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_blue_about_hanako,"scnbeventsAttachPropDescriptor, scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, scnbeventsVFXEventDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",7,20,"{'scnbeventsVFXEventDescriptor': 3, 'toolsLookAtDescriptor': 1, 'toolsDialogLineEventDescriptor': 4, 'scnbeventsSocketDescriptor': 3, 'scnbeventsAttachPropDescriptor': 2, 'toolsPlaySkAnimDescriptor': 6, 'scnbeventsChangeWorkEvent': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_shut_up_johnny,"scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor",3,3,"{'toolsDialogLineEventDescriptor': 1, 'toolsLookAtDescriptor': 1, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_what_do_u_mean,"scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",5,11,"{'toolsDialogLineEventDescriptor': 3, 'toolsChangeIdleAnimDescriptor': 2, 'scnbeventsSocketDescriptor': 1, 'toolsPlaySkAnimDescriptor': 4, 'scnbeventsChangeWorkEvent': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_angry_mean,"scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",5,11,"{'toolsDialogLineEventDescriptor': 3, 'toolsChangeIdleAnimDescriptor': 2, 'scnbeventsSocketDescriptor': 1, 'toolsPlaySkAnimDescriptor': 4, 'scnbeventsChangeWorkEvent': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_disturbing_conlusion,"scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",5,8,"{'toolsLookAtDescriptor': 2, 'toolsDialogLineEventDescriptor': 1, 'scnbeventsSocketDescriptor': 2, 'toolsPlaySkAnimDescriptor': 1, 'scnbeventsChangeWorkEvent': 2}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_pissed,"scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor",5,5,"{'toolsLookAtDescriptor': 1, 'toolsDialogLineEventDescriptor': 1, 'toolsChangeIdleAnimDescriptor': 1, 'scnbeventsSocketDescriptor': 1, 'scnbeventsChangeWorkEvent': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_waitress,"toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",2,3,"{'toolsDialogLineEventDescriptor': 1, 'toolsPlaySkAnimDescriptor': 2}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_inital_pose,"scnbeventsChangeWorkEvent, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor",4,5,"{'toolsDialogLineEventDescriptor': 1, 'scnbeventsChangeWorkEvent': 1, 'toolsLookAtDescriptor': 2, 'toolsChangeIdleAnimDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_comment_02,"scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",4,5,"{'toolsDialogLineEventDescriptor': 1, 'toolsPlaySkAnimDescriptor': 1, 'toolsLookAtDescriptor': 2, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_comment_03,"scnbeventsSocketDescriptor, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",5,7,"{'toolsLookAtDescriptor': 2, 'toolsDialogLineEventDescriptor': 1, 'toolsChangeIdleAnimDescriptor': 1, 'scnbeventsSocketDescriptor': 2, 'toolsPlaySkAnimDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_comment_04,"scnbeventsSocketDescriptor, toolsChangeIdleAnimDescriptor, toolsDialogLineEventDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",5,6,"{'toolsLookAtDescriptor': 2, 'toolsDialogLineEventDescriptor': 1, 'toolsChangeIdleAnimDescriptor': 1, 'scnbeventsSocketDescriptor': 1, 'toolsPlaySkAnimDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_hanako_sama,"scnbeventsChangeWorkEvent, scnbeventsSocketDescriptor, toolsDialogLineEventDescriptor, toolsPlaySkAnimDescriptor",4,6,"{'toolsDialogLineEventDescriptor': 3, 'toolsPlaySkAnimDescriptor': 1, 'scnbeventsChangeWorkEvent': 1, 'scnbeventsSocketDescriptor': 1}"
base\quest\testgym\q115_00b_hanako.scenesolution,q115_00b_johnny_reaction,"toolsDialogLineEventDescriptor, toolsLookAtDescriptor, toolsPlaySkAnimDescriptor",3,5,"{'toolsDialogLineEventDescriptor': 1, 'toolsPlaySkAnimDescriptor': 2, 'toolsLookAtDescriptor': 2}"
