场景路径,段落名称,轨道名称,轨道类型,剪辑序号,剪辑类型
base\quest\testgym\meethanako.scenesolution,q115_00b_mikoshi,logic,8,1,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_mikoshi,VFX,15,1,scnbeventsVFXEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_mikoshi,VFX,15,2,scnbeventsVFXEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_36,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_comment_03,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_comment_03,animation,4,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_comment_03,facial,5,1,toolsChangeIdleAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_comment_03,lookAt,6,1,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_comment_03,lookAt,6,2,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_comment_03,logic,8,1,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_comment_03,logic,8,2,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_shut_up_johnny,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_shut_up_johnny,lookAt,6,1,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_disturbing_conlusion,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_disturbing_conlusion,animation,4,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_disturbing_conlusion,facial,5,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_disturbing_conlusion,lookAt,6,1,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_disturbing_conlusion,lookAt,6,2,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_disturbing_conlusion,logic,8,1,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_disturbing_conlusion,logic,8,2,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_stopping_scenespots,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_stopping_scenespots,facial,5,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_stopping_scenespots,logic,8,1,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_stopping_scenespots,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_stopping_scenespots,idle,3,2,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_stopping_scenespots,logic,8,1,scnbeventsAttachPropDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_mikoshi_go_one,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_mikoshi_go_one,dialog lines,1,2,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_mikoshi_go_one,logic,8,1,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_mikoshi_how_is_that,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_mikoshi_how_is_that,logic,8,1,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_drinking,animation,4,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_drinking,facial,5,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_drinking,facial (1),5,1,toolsChangeIdleAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_drinking,lookAt,6,1,scnbeventsAttachPropDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_drinking,lookAt,6,2,scnbeventsAttachPropDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_drinking,VFX,15,1,scnbeventsVFXEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_drinking,VFX,15,2,scnbeventsVFXEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_drinking,VFX,15,3,scnbeventsVFXEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_my_brother,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_my_brother,dialog lines,1,2,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_my_brother,facial,5,1,toolsChangeIdleAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_my_brother,lookAt,6,1,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_my_brother,logic,8,1,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_my_brother,logic,8,1,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_player_sitting_animation,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_player_sitting_animation,lookAt,6,1,scnbeventsCameraClipDescriptor
base\quest\testgym\meethanako.scenesolution,TestSectionConOne,animation,4,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,TestSectionConTwo,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_comment_04,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_comment_04,idle,3,1,toolsChangeIdleAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_comment_04,facial,5,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_comment_04,lookAt,6,1,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_comment_04,lookAt,6,2,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_comment_04,logic,8,1,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,lookat_01,lookAt,6,1,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,lookat_02,lookAt,6,1,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_lookat_03,lookAt,6,1,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,facial_animation_01,facial,5,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,facial_animation_02,facial,5,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,facial_animation_03,facial,5,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_35,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_kill_brother,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_kill_brother,dialog lines,1,2,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_kill_brother,facial,5,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_kill_brother,logic,8,1,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_business_of_arasakas,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_business_of_arasakas,dialog lines,1,2,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_business_of_arasakas,facial,5,1,toolsChangeIdleAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_business_of_arasakas,facial (1),5,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_business_of_arasakas,facial (1),5,2,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_business_of_arasakas,lookAt,6,1,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_business_of_arasakas,logic,8,1,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_what_hanako,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_what_hanako,dialog lines,1,2,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_what_hanako,dialog lines,1,3,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_what_hanako,dialog lines,1,4,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_what_hanako,animation,4,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_what_hanako,facial,5,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_what_hanako,facial,5,2,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_what_hanako,lookAt,6,1,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_what_hanako,lookAt,6,2,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_what_hanako,logic,8,1,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_v_drinking,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_v_drinking,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_v_drinking,logic,8,1,scnbeventsAttachPropDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_v_drinking,logic,8,2,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_v_drinking,logic,8,3,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_v_drinking,logic,8,4,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_v_drinking,logic,8,5,scnbeventsAttachPropDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_v_drinking,lookAt,6,1,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_v_drinking,lookAt,6,2,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_v_drinking,VFX,15,1,scnbeventsVFXEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_v_drinking,VFX,15,2,scnbeventsVFXEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,dialog lines,1,2,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,dialog lines,1,3,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,dialog lines,1,4,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,dialog lines,1,5,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,dialog lines,1,6,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,dialog lines,1,7,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,dialog lines,1,8,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,dialog lines,1,9,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,lookAt,6,1,scnbeventsAttachPropDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,animation,4,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,lookAt,6,1,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,lookAt,6,2,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,lookAt,6,3,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,lookAt,6,4,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,idle,3,1,scnbeventsStopWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,idle,3,1,toolsChangeIdleAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,animation,4,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,animation (1),4,1,toolsChangeIdleAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,animation (1),4,2,toolsChangeIdleAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,animation (1),4,3,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,lookAt,6,1,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,lookAt,6,2,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,lookAt,6,3,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,lookAt,6,4,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,animation,4,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,animation,4,2,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,animation,4,3,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,lookAt,6,1,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,lookAt,6,2,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,lookAt,6,3,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,lookAt,6,4,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,lookAt,6,5,scnbeventsAttachPropDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_hanako_conclusion,logic,8,1,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_17,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_40,idle,3,1,scnbeventsStopWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_40,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_22,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_good_offert,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_good_offert,dialog lines,1,2,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_good_offert,dialog lines,1,3,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_good_offert,logic,8,1,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_good_offert,logic,8,2,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_good_offert,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_good_offert,animation,4,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_good_offert,facial,5,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_good_offert,facial,5,2,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_good_offert,lookAt,6,1,toolsChangeIdleAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_good_offert,lookAt,6,2,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_good_offert,animation,4,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_good_offert,logic,8,1,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_good_offert,logic,8,2,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_rather_not_offert,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_rather_not_offert,dialog lines,1,2,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_rather_not_offert,dialog lines,1,3,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_rather_not_offert,dialog lines,1,4,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_rather_not_offert,logic,8,1,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_rather_not_offert,logic,8,2,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_rather_not_offert,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_rather_not_offert,facial,5,1,toolsChangeIdleAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_rather_not_offert,facial,5,2,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_rather_not_offert,logic,8,1,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_rather_not_offert,animation,4,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_rather_not_offert,animation,4,2,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_nervous_johnny,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_nervous_johnny,dialog lines,1,2,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_nervous_johnny,dialog lines,1,3,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_nervous_johnny,dialog lines,1,4,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_nervous_johnny,dialog lines,1,5,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_nervous_johnny,animation,4,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_nervous_johnny,facial,5,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_nervous_johnny,lookAt,6,1,toolsChangeIdleAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_nervous_johnny,idle,3,1,scnbeventsStopWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_nervous_johnny,animation,4,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_nervous_johnny,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_nervous_johnny,facial,5,1,scnbeventsVFXEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_nervous_johnny,logic,8,1,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_nervous_johnny,VFX,15,1,scnbeventsVFXEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_furious_johnny,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_furious_johnny,dialog lines,1,2,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_furious_johnny,dialog lines,1,3,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_furious_johnny,dialog lines,1,4,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_furious_johnny,dialog lines,1,5,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_furious_johnny,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_furious_johnny,facial,5,1,scnbeventsVFXEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_furious_johnny,logic,8,1,scnbeventsAttachPropDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_furious_johnny,logic,8,2,scnbeventsAttachPropDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_furious_johnny,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_furious_johnny,facial,5,1,toolsChangeIdleAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_furious_johnny,lookAt,6,1,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_furious_johnny,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_furious_johnny,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_furious_johnny,animation,4,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_furious_johnny,animation,4,2,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_furious_johnny,logic,8,1,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_furious_johnny,idle,3,1,scnbeventsStopWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_furious_johnny,idle,3,2,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_furious_johnny,lookAt,6,1,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_sickness_lvl1_play,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_sickness_lvl1_play,logic,8,1,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_sickness_lvl1_break,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_sickness_lvl1_break,logic,8,1,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_sickness_lvl2_play,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_johnny_sickness_lvl2_play,logic,8,1,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_backtopose,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_backtopose,facial,5,1,toolsChangeIdleAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_backtopose,lookAt,6,1,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_backtopose,lookAt,6,2,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_backtopose,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_guard_02_backtopose,facial,5,1,toolsChangeIdleAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_v_is_fine,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_v_is_fine,dialog lines,1,2,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_v_is_fine,dialog lines,1,3,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_v_is_fine,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_v_is_fine,animation,4,1,scnbeventsVFXEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_v_is_fine,logic,8,1,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_v_is_fine,animation,4,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_v_is_fine,facial,5,1,toolsChangeIdleAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_v_is_fine,lookAt,6,1,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_v_is_fine,lookAt,6,2,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_v_is_fine,VFX,15,1,scnbeventsVFXEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_v_is_not_good,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_v_is_not_good,dialog lines,1,2,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_v_is_not_good,dialog lines,1,3,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_v_is_not_good,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_v_is_not_good,idle,3,2,toolsAddIdleEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_v_is_not_good,animation,4,1,scnbeventsVFXEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_v_is_not_good,logic,8,1,scnbeventsSocketDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_v_is_not_good,animation,4,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_v_is_not_good,facial,5,1,toolsChangeIdleAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_v_is_not_good,lookAt,6,1,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_v_is_not_good,lookAt,6,2,toolsLookAtDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_v_is_not_good,VFX,15,1,scnbeventsVFXEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_angry_johnny,dialog lines,1,1,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_angry_johnny,dialog lines,1,2,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_angry_johnny,dialog lines,1,3,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_angry_johnny,dialog lines,1,4,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_angry_johnny,dialog lines,1,5,toolsDialogLineEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_angry_johnny,animation,4,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_angry_johnny,facial,5,1,toolsPlaySkAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_angry_johnny,lookAt,6,1,toolsChangeIdleAnimDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_angry_johnny,idle,3,1,scnbeventsStopWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_angry_johnny,idle,3,1,scnbeventsChangeWorkEvent
base\quest\testgym\meethanako.scenesolution,q115_00b_angry_johnny,animation,4,1,scnbeventsVFXEventDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_angry_johnny,animation,4,2,scnbeventsCameraClipDescriptor
base\quest\testgym\meethanako.scenesolution,q115_00b_angry_johnny,VFX,15,1,scnbeventsVFXEventDescriptor
